"Apply the rule only to cart items matching the following conditions ' '(leave blank for all items).","Aplicar a regra aos itens do carrinho que correspondem as seguintes condições ' '(Deixe em branco para todos os items)."
"Apply the rule only if the following conditions are met (leave blank for all products).","Aplicar a regra somente se as seguintes condições forem verdade (Deixe em branco para todos os produtos)."
"Manage Coupon Codes","Gerenciar códigos de cupons"
"Coupons Information","Informações de cupons"
"Coupon Qty","Quantidade de cupons"
"Code Length","Tamanho do código"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Code Format","Formato do código"
"Code Prefix","Prefixo do código"
"Code Suffix","Sufixo do código"
"Dash Every X Characters","Dash Every X Characters"
"If empty no separation.","If empty no separation."
"Times Used","Quantidade de vezes que foi usado"
"Are you sure you want to delete the selected coupon(s)?","Tem certeza que deseja excluir os seguintes cupon(s)?"
Labels,Labels
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Use Auto Generation","Gerar automaticamente"
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Uses per Coupon","Usos por cupom"
"Uses per Customer","Usos per cliente"
"Public In RSS Feed","Public In RSS Feed"
"Cart Price Rules","Regras de Carrinho"
"New Cart Price Rule","Nova regra de carrinho"
"The wrong rule is specified.","The wrong rule is specified."
"We can't find a rule to delete.","We can't find a rule to delete."
"Rule is not defined","Rule is not defined"
"Invalid data provided","Invalid data provided"
"%1 coupon(s) have been generated.","%1 cupom(s) foi gerado."
"Something went wrong while generating coupons. Please review the log and try again.","Something went wrong while generating coupons. Please review the log and try again."
"We cannot create the requested Coupon Qty. Please check your settings and try again.","We cannot create the requested Coupon Qty. Please check your settings and try again."
"%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled."
"Coupon with the same code","Coupon with the same code"
"No Coupon","No Coupon"
"Specific Coupon","Cupom especifico"
"Can't acquire coupon.","Can't acquire coupon."
"Total Items Quantity","Quantidade total de items"
"Shipping Postcode","Cep de entrega"
"Shipping Region","Região de entrega"
"Shipping State/Province","Estado de entrega"
"Shipping Country","País de entrega"
"Product attribute combination","Combinação de atributos do produto"
"Products subselection","Subseleção de produtos"
"Conditions combination","Condições de combinação"
"Cart Attribute","Atributo do carrinho"
"Quantity in cart","Quantidade no carrinho"
"Price in cart","Preço do carrinho"
"Row total in cart","Row total in cart"
"Cart Item Attribute","Atributo do item no carrinho"
FOUND,ENCONTRADO
"NOT FOUND","NÃO ENCONTRADO"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the cart with %2 of these conditions true:"
"total quantity","Quantidade total"
"total amount","Valor Total"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Item totals are not set for the rule.","Item totals are not set for the rule."
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only."
"Error occurred when saving coupon: %1","Error occurred when saving coupon: %1"
"Error occurred when generating coupons: %1","Error occurred when generating coupons: %1"
"Some coupons are invalid.","Alguns cupons são invalidos"
"Specified rule does not allow automatic coupon generation","Specified rule does not allow automatic coupon generation"
"Specified rule does not allow coupons","Specified rule does not allow coupons"
"Specified rule only allows auto generated coupons","Specified rule only allows auto generated coupons"
"Specified rule does not allow auto generated coupons","Specified rule does not allow auto generated coupons"
